model,dataset,accuracy,balanced_accuracy,n_trials,n_channels,n_samples,dataset_notes,error
fbcsp_lda_S08.joblib,S14_U,0.500000,0.500000,20,3,2000,subject epoch/label files,
fbcsp_lda_S08.joblib,S15,0.475000,0.475000,40,3,2000,subject epoch/label files,
fbcsp_lda_S08.joblib,S20,0.500000,0.500000,40,3,2000,subject epoch/label files,
fbcsp_lda_S08.joblib,S21,0.625000,0.625000,40,3,2000,subject epoch/label files,
fbcsp_lda_S08.joblib,raw_012_4s,0.581250,0.581250,160,3,2000,"raw NPZ channels 0,1,2, 4s",
fbcsp_lda_S08.joblib,raw_012_3s,0.581250,0.581250,160,3,1500,"raw NPZ channels 0,1,2, first 3s",
fbcsp_lda_S08.joblib,raw_034_3s,0.456250,0.456250,160,3,1500,"raw NPZ channels 0,3,4, first 3s",
fbcsp_lda_S08.joblib,S02_combined_npz,0.500000,0.500000,160,3,2000,S02 combined NPZ full 4s,
fbcsp_lda_S10.joblib,S02,0.500000,0.500000,160,3,2000,subject epoch/label files,
fbcsp_lda_S10.joblib,S11,0.500000,0.500000,50,3,2000,subject epoch/label files,
fbcsp_lda_S10.joblib,S12_U,0.500000,0.500000,20,3,2000,subject epoch/label files,
fbcsp_lda_S10.joblib,S14_U,0.500000,0.500000,20,3,2000,subject epoch/label files,
fbcsp_lda_S10.joblib,S15,0.500000,0.500000,40,3,2000,subject epoch/label files,
fbcsp_lda_S10.joblib,S20,0.550000,0.550000,40,3,2000,subject epoch/label files,
fbcsp_lda_S10.joblib,S21,0.525000,0.525000,40,3,2000,subject epoch/label files,
fbcsp_lda_S10.joblib,raw_012_4s,0.500000,0.500000,160,3,2000,"raw NPZ channels 0,1,2, 4s",
fbcsp_lda_S10.joblib,raw_012_3s,0.506250,0.506250,160,3,1500,"raw NPZ channels 0,1,2, first 3s",
fbcsp_lda_S10.joblib,raw_034_3s,0.500000,0.500000,160,3,1500,"raw NPZ channels 0,3,4, first 3s",
fbcsp_lda_S10.joblib,S02_combined_npz,0.500000,0.500000,160,3,2000,S02 combined NPZ full 4s,
fbcsp_lda_S12.joblib,S02,0.481250,0.481250,160,3,2000,subject epoch/label files,
fbcsp_lda_S12.joblib,S11,0.520000,0.520000,50,3,2000,subject epoch/label files,
fbcsp_lda_S12.joblib,S12_U,1.000000,1.000000,20,3,2000,subject epoch/label files,
fbcsp_lda_S12.joblib,S14_U,0.650000,0.650000,20,3,2000,subject epoch/label files,
fbcsp_lda_S12.joblib,S15,0.575000,0.575000,40,3,2000,subject epoch/label files,
fbcsp_lda_S12.joblib,S20,0.500000,0.500000,40,3,2000,subject epoch/label files,
fbcsp_lda_S12.joblib,S21,0.325000,0.325000,40,3,2000,subject epoch/label files,
fbcsp_lda_S12.joblib,raw_012_4s,0.443750,0.443750,160,3,2000,"raw NPZ channels 0,1,2, 4s",
fbcsp_lda_S12.joblib,raw_012_3s,0.437500,0.437500,160,3,1500,"raw NPZ channels 0,1,2, first 3s",
fbcsp_lda_S12.joblib,raw_034_3s,0.500000,0.500000,160,3,1500,"raw NPZ channels 0,3,4, first 3s",
fbcsp_lda_S12.joblib,S02_combined_npz,0.481250,0.481250,160,3,2000,S02 combined NPZ full 4s,
fbcsp_lda_S14_U.joblib,S02,0.393750,0.393750,160,3,2000,subject epoch/label files,
fbcsp_lda_S14_U.joblib,S11,0.400000,0.400000,50,3,2000,subject epoch/label files,
fbcsp_lda_S14_U.joblib,S12_U,0.550000,0.550000,20,3,2000,subject epoch/label files,
fbcsp_lda_S14_U.joblib,S14_U,1.000000,1.000000,20,3,2000,subject epoch/label files,
fbcsp_lda_S14_U.joblib,S15,0.775000,0.775000,40,3,2000,subject epoch/label files,
fbcsp_lda_S14_U.joblib,S20,0.550000,0.550000,40,3,2000,subject epoch/label files,
fbcsp_lda_S14_U.joblib,S21,0.750000,0.750000,40,3,2000,subject epoch/label files,
fbcsp_lda_S14_U.joblib,raw_012_4s,0.475000,0.475000,160,3,2000,"raw NPZ channels 0,1,2, 4s",
fbcsp_lda_S14_U.joblib,raw_012_3s,0.462500,0.462500,160,3,1500,"raw NPZ channels 0,1,2, first 3s",
fbcsp_lda_S14_U.joblib,raw_034_3s,0.512500,0.512500,160,3,1500,"raw NPZ channels 0,3,4, first 3s",
fbcsp_lda_S14_U.joblib,S02_combined_npz,0.393750,0.393750,160,3,2000,S02 combined NPZ full 4s,
fbcsp_lda_S15.joblib,S02,0.437500,0.437500,160,3,2000,subject epoch/label files,
fbcsp_lda_S15.joblib,S11,0.520000,0.520000,50,3,2000,subject epoch/label files,
fbcsp_lda_S15.joblib,S12_U,0.700000,0.700000,20,3,2000,subject epoch/label files,
fbcsp_lda_S15.joblib,S14_U,0.800000,0.800000,20,3,2000,subject epoch/label files,
fbcsp_lda_S15.joblib,S15,1.000000,1.000000,40,3,2000,subject epoch/label files,
fbcsp_lda_S15.joblib,S20,0.500000,0.500000,40,3,2000,subject epoch/label files,
fbcsp_lda_S15.joblib,S21,0.775000,0.775000,40,3,2000,subject epoch/label files,
fbcsp_lda_S15.joblib,raw_012_4s,0.531250,0.531250,160,3,2000,"raw NPZ channels 0,1,2, 4s",
fbcsp_lda_S15.joblib,raw_012_3s,0.525000,0.525000,160,3,1500,"raw NPZ channels 0,1,2, first 3s",
fbcsp_lda_S15.joblib,raw_034_3s,0.518750,0.518750,160,3,1500,"raw NPZ channels 0,3,4, first 3s",
fbcsp_lda_S15.joblib,S02_combined_npz,0.437500,0.437500,160,3,2000,S02 combined NPZ full 4s,
fbcsp_lda_S20.joblib,S02,0.493750,0.493750,160,3,2000,subject epoch/label files,
fbcsp_lda_S20.joblib,S11,0.500000,0.500000,50,3,2000,subject epoch/label files,
fbcsp_lda_S20.joblib,S12_U,0.500000,0.500000,20,3,2000,subject epoch/label files,
fbcsp_lda_S20.joblib,S14_U,0.500000,0.500000,20,3,2000,subject epoch/label files,
fbcsp_lda_S20.joblib,S15,0.525000,0.525000,40,3,2000,subject epoch/label files,
fbcsp_lda_S20.joblib,S20,0.950000,0.950000,40,3,2000,subject epoch/label files,
fbcsp_lda_S20.joblib,S21,0.525000,0.525000,40,3,2000,subject epoch/label files,
fbcsp_lda_S20.joblib,raw_012_4s,0.543750,0.543750,160,3,2000,"raw NPZ channels 0,1,2, 4s",
fbcsp_lda_S20.joblib,raw_012_3s,0.556250,0.556250,160,3,1500,"raw NPZ channels 0,1,2, first 3s",
fbcsp_lda_S20.joblib,raw_034_3s,0.512500,0.512500,160,3,1500,"raw NPZ channels 0,3,4, first 3s",
fbcsp_lda_S20.joblib,S02_combined_npz,0.493750,0.493750,160,3,2000,S02 combined NPZ full 4s,
fbcsp_lda_S21.joblib,S02,0.450000,0.450000,160,3,2000,subject epoch/label files,
fbcsp_lda_S21.joblib,S11,0.400000,0.400000,50,3,2000,subject epoch/label files,
fbcsp_lda_S21.joblib,S12_U,0.650000,0.650000,20,3,2000,subject epoch/label files,
fbcsp_lda_S21.joblib,S14_U,0.850000,0.850000,20,3,2000,subject epoch/label files,
fbcsp_lda_S21.joblib,S15,0.775000,0.775000,40,3,2000,subject epoch/label files,
fbcsp_lda_S21.joblib,S20,0.500000,0.500000,40,3,2000,subject epoch/label files,
fbcsp_lda_S21.joblib,S21,0.975000,0.975000,40,3,2000,subject epoch/label files,
fbcsp_lda_S21.joblib,raw_012_4s,0.625000,0.625000,160,3,2000,"raw NPZ channels 0,1,2, 4s",
fbcsp_lda_S21.joblib,raw_012_3s,0.612500,0.612500,160,3,1500,"raw NPZ channels 0,1,2, first 3s",
fbcsp_lda_S21.joblib,raw_034_3s,0.556250,0.556250,160,3,1500,"raw NPZ channels 0,3,4, first 3s",
fbcsp_lda_S21.joblib,S02_combined_npz,0.450000,0.450000,160,3,2000,S02 combined NPZ full 4s,
